model,data,method,condition,|95%_alpha,mean_alpha,95%|_alpha,|95%_epsilon,mean_epsilon,95%|_epsilon,Bpppv,significant
RSA,item,---,prd.,2.61805,3.126816155,3.6944700000000004,0.0758876,0.11973345465,0.164662,0.288625,
RSA,item,---,int.,0.206087,0.674457631125,1.0765,0.0845664,0.136000463295875,0.190889,0.20549999999999974,
RSA,cond.,---,prd.,2.6202400000000003,3.13912630625,3.6951600000000004,0.077983,0.1212109159875,0.16791399999999998,0.4959999999999999,
RSA,cond.,---,int.,0.268327,0.67845399075,1.1288500000000001,0.0863212,0.1363906225325,0.191965,0.5061250000000012,
GPT,item,---,prd.,0.40476,0.510107634875,0.6189009999999999,0.0713158,0.1178217811125,0.171147,2.500000000000081e-4,*
GPT,item,---,int.,0.5164759999999999,0.65843859375,0.818564,2.35601e-6,0.05358518765688875,0.152589,2.5000000000001367e-4,*
GPT,cond.,avg. scores,prd.,0.6108819999999999,0.738141519875,0.8726809999999999,0.0784825,0.12152936303749999,0.16938899999999998,0.4907500000000001,
GPT,cond.,avg. scores,int.,0.98755,1.169412775125,1.3474700000000002,2.4439500000000002e-5,0.0192427530390125,0.0550496,0,*
GPT,cond.,avg. prob.,prd.,0.8052119999999999,4.998607810125001,14.579,0.08244169999999999,0.1219084922,0.164376,0.6125000000000008,
GPT,cond.,avg. prob.,int.,1.36037,2.03988971875,2.66705,1.12207e-5,0.0290349399328875,0.08410129999999999,1.2499999999998626e-4,*
GPT,cond.,avg. WTA,prd.,0.8590139999999999,1.038731339375,1.22238,0.07890899999999999,0.12212851982499999,0.17050099999999999,0.48325000000000007,
GPT,cond.,avg. WTA,int.,0.15911899999999998,0.434644634875,0.685102,0.0562846,0.1282795034955,0.19409099999999999,0.49687499999999857,
