model,data,method,condition,|95%_alpha,mean_alpha,95%|_alpha,|95%_epsilon,mean_epsilon,95%|_epsilon,Bpppv,significant
RSA,item,---,prd.,2.61805,3.126816155,3.6944700000000004,0.0758876,0.11973345465,0.164662,0.288625,
RSA,item,---,int.,0.206087,0.674457631125,1.0765,0.0845664,0.136000463295875,0.190889,0.20549999999999974,
RSA,cond.,---,prd.,2.6202400000000003,3.13912630625,3.6951600000000004,0.077983,0.1212109159875,0.16791399999999998,0.4959999999999999,
RSA,cond.,---,int.,0.268327,0.67845399075,1.1288500000000001,0.0863212,0.1363906225325,0.191965,0.5061250000000012,
LLaMA2-chat-hf-70b,item,---,prd.,0.0656595,0.1602711821,0.357856,2.69167e-4,0.18297483000849998,0.496536,0,*
LLaMA2-chat-hf-70b,item,---,int.,0.139061,0.168199307375,0.198923,1.42774e-5,0.03054047748457375,0.0865249,0,*
LLaMA2-chat-hf-70b,cond.,avg. scores,prd.,0.439258,0.52666826875,0.619849,1.24545e-5,0.014901805745425,0.0432989,0,*
LLaMA2-chat-hf-70b,cond.,avg. scores,int.,0.25993099999999997,0.3214194435,0.39041699999999996,8.53942e-6,0.031234090897789998,0.08244399999999999,0.07037499999999994,
LLaMA2-chat-hf-70b,cond.,avg. prob.,prd.,0.693265,0.990728337625,1.31894,5.83925e-6,0.013494833931913749,0.0395048,0,*
LLaMA2-chat-hf-70b,cond.,avg. prob.,int.,0.342227,1.393496188625,4.06029,2.0161799999999997e-6,0.0122716635186675,0.034171599999999996,0.0018749999999999756,*
LLaMA2-chat-hf-70b,cond.,avg. WTA,prd.,0.6973229999999999,0.831967326625,0.9818129999999999,3.0218700000000004e-10,0.01463718587198186,0.0437552,0,*
LLaMA2-chat-hf-70b,cond.,avg. WTA,int.,0.964846,1.1265696356250001,1.29418,7.22831e-6,0.01745231470549125,0.052485399999999995,0,*
