model,data,method,condition,|95%_alpha,mean_alpha,95%|_alpha,|95%_epsilon,mean_epsilon,95%|_epsilon,Bpppv,significant
RSA,item,---,prd.,2.61805,3.126816155,3.6944700000000004,0.0758876,0.11973345465,0.164662,0.288625,
RSA,item,---,int.,0.206087,0.674457631125,1.0765,0.0845664,0.136000463295875,0.190889,0.20549999999999974,
RSA,cond.,---,prd.,2.6202400000000003,3.13912630625,3.6951600000000004,0.077983,0.1212109159875,0.16791399999999998,0.4959999999999999,
RSA,cond.,---,int.,0.268327,0.67845399075,1.1288500000000001,0.0863212,0.1363906225325,0.191965,0.5061250000000012,
LLaMA2-hf-70b,item,---,prd.,1.5280200000000002,1.8578834537500002,2.2202100000000002,6.45254e-6,0.0259836728821325,0.0688394,0,*
LLaMA2-hf-70b,item,---,int.,3.2030800000000004,4.01178040875,4.73915,4.0770399999999995e-6,0.025826409148193747,0.0756066,0,*
LLaMA2-hf-70b,cond.,avg. scores,prd.,44.574200000000005,53.1740271875,62.441300000000005,0.0779224,0.1183250209125,0.165675,0.4783750000000002,
LLaMA2-hf-70b,cond.,avg. scores,int.,6.85944,8.1366889275,9.324710000000001,4.58951e-6,0.01738636788999625,0.051225799999999995,0,*
LLaMA2-hf-70b,cond.,avg. prob.,prd.,10.5075,26.592371300000003,45.7276,0.0669922,0.10292403655,0.141758,0,*
LLaMA2-hf-70b,cond.,avg. prob.,int.,10.8571,23.63239009,42.1571,1.93209e-5,0.03457663582955,0.09125309999999999,1.249999999999935e-4,*
LLaMA2-hf-70b,cond.,avg. WTA,prd.,5.8826,7.02566689375,8.190380000000001,0.0775554,0.1198978756,0.165093,0.5032499999999996,
LLaMA2-hf-70b,cond.,avg. WTA,int.,0.551935,0.6761131819999999,0.807735,2.16065e-5,0.0271435277187225,0.0740629,0.04275000000000012,*
